Vrid,id,Vstatus,age,sex,income,race,race_other,hispanic
332,C2059352504,Complete,65 to 74,Female,"$75,000 to $99,999",White,"",No
333,C2059352933,Partial,,,,,"",
334,C2059356871,Complete,25 to 34,Male,"$50,000 to $74,999",White,"",No
335,C2059364174,Complete,35 to 44,Male,"$35,000 to $49,999",White,"",No
336,C2059365419,Complete,45 to 54,Female,"$25,000 to $34,999",White,"",No
337,C2059366267,Complete,55 to 64,Female,"$50,000 to $74,999",White,"",Yes
338,C2059370124,Complete,55 to 64,Female,"Less than $25,000",White,"",No
339,C2059371454,Partial,,,,,"",
340,C2059371056,Complete,35 to 44,Male,"$50,000 to $74,999",White,"",No
341,C2059375829,Complete,25 to 34,Female,"$25,000 to $34,999",White,"",Yes
342,C2059376600,Complete,75 or older,Female,"$50,000 to $74,999",White,"",No
343,C2059378712,Complete,55 to 64,Female,"$125,000 to $149,999",White,"",No
344,C2059383652,Complete,18 to 24,Male,"Less than $25,000",White,"",No
345,C2059386292,Complete,18 to 24,Male,"$75,000 to $99,999",White,"",No
346,C2059357127,Complete,55 to 64,Female,"Less than $25,000",Other,Caucasian Am Indian Mexican,Yes
347,C2059386947,Complete,25 to 34,Female,"$75,000 to $99,999",White,"",No
348,C2059385832,Complete,75 or older,Female,"$35,000 to $49,999",White,"",No
349,C2059390025,Complete,18 to 24,Female,"$25,000 to $34,999",Other,Hispanic,Yes
350,C2059393062,Partial,,,,,"",
351,C2059393638,Complete,55 to 64,Female,"Less than $25,000",White,"",No
352,C2059395301,Complete,45 to 54,Female,"$35,000 to $49,999",White,"",No
353,C2059394626,Complete,25 to 34,Female,"Less than $25,000",White,"",No
354,C2059396863,Complete,25 to 34,Female,"$35,000 to $49,999",White,"",No
355,C2059397380,Complete,25 to 34,Male,"$50,000 to $74,999",White,"",No
356,C2059398787,Complete,25 to 34,Female,"$150,000 or more",White,"",No
357,C2059400372,Complete,25 to 34,Female,"$35,000 to $49,999",White,"",No
358,C2059402753,Complete,25 to 34,Female,"$75,000 to $99,999",Asian,"",No
359,C2059407513,Complete,18 to 24,Female,"$35,000 to $49,999",American Indian/Alaska Native,"",Yes
360,C2059409498,Complete,25 to 34,Female,"$50,000 to $74,999",White,"",No
361,C2059409264,Complete,25 to 34,Female,"$50,000 to $74,999",White,"",No
362,C2059410348,Partial,,,,,"",
363,C2059411955,Complete,25 to 34,Male,"$25,000 to $34,999",White,"",No
364,C2059413408,Complete,25 to 34,Female,"$25,000 to $34,999",White,"",Yes
365,C2059419995,Complete,18 to 24,Male,"Less than $25,000",White,"",No
366,C2059421331,Complete,25 to 34,Female,"$75,000 to $99,999",White,"",No
367,C2059419114,Complete,45 to 54,Female,"$75,000 to $99,999",Asian,"",No
368,C2059421310,Complete,45 to 54,Male,"$35,000 to $49,999",White,"",Yes
369,C2059421901,Complete,25 to 34,Female,"$75,000 to $99,999",White,"",No
370,C2059428029,Complete,35 to 44,Female,"$150,000 or more",White,"",No
371,C2059428308,Complete,25 to 34,Female,"$50,000 to $74,999",White,"",No
372,C2059440269,Complete,18 to 24,Female,"$35,000 to $49,999",White,"",No
373,C2059455371,Complete,55 to 64,Female,"$25,000 to $34,999",Asian,"",No
374,C2059458733,Complete,25 to 34,Female,"$50,000 to $74,999",Asian,"",No
375,C2059466411,Complete,25 to 34,Male,"$25,000 to $34,999",White,"",No
376,C2059471353,Complete,35 to 44,Female,"Less than $25,000",White,"",No
377,C2059473763,Complete,65 to 74,Female,"$50,000 to $74,999",White,"",No
378,C2059473021,Complete,65 to 74,Male,"$35,000 to $49,999",White,"",No
379,C2059475033,Complete,18 to 24,Female,"Less than $25,000",Black/African-American,"",Yes
380,C2059475088,Complete,35 to 44,Female,"$25,000 to $34,999",White,"",Yes
381,C2059479366,Complete,18 to 24,Female,"$35,000 to $49,999",White,"",No
382,1164743365,Complete,55 to 64,Male,"$50,000 to $74,999",White,"",No
383,C2059482351,Complete,18 to 24,Female,"Less than $25,000",White,"",No
384,C2059482947,Complete,55 to 64,Female,"Less than $25,000",White,"",No
385,C2059483718,Disqualified,65 to 74,Female,"$25,000 to $34,999",White,"",No
386,C2059485797,Complete,18 to 24,Female,"$35,000 to $49,999",White,"",No
387,C2059487384,Complete,55 to 64,Female,"$35,000 to $49,999",White,"",No
388,C2059499354,Complete,25 to 34,Female,"$50,000 to $74,999",White,"",No
389,C2059511299,Complete,25 to 34,Female,"$25,000 to $34,999",White,"",No
390,C2059522773,Complete,55 to 64,Male,"$75,000 to $99,999",White,"",No
391,C2059540986,Complete,35 to 44,Female,"$25,000 to $34,999",Black/African-American,"",No
392,C2059538390,Complete,55 to 64,Female,"Less than $25,000",Other,Caucasian Am Indian Mexican,Yes
393,C2059546859,Complete,18 to 24,Female,"$150,000 or more",White,"",No
394,C2059550681,Complete,65 to 74,Male,"$35,000 to $49,999",White,"",No
395,C2059552199,Complete,65 to 74,Male,"Less than $25,000",White,"",No
396,C2059558657,Complete,18 to 24,Male,"Less than $25,000",Other,Mexican,Yes
397,C2059567362,Partial,,,,,"",
398,C2059573191,Complete,35 to 44,Male,"Less than $25,000",Black/African-American,"",No
399,C2059578278,Complete,35 to 44,Female,"Less than $25,000",White,"",No
400,C2059607766,Complete,55 to 64,Female,"Less than $25,000",White,"",No
401,C2059641871,Complete,55 to 64,Male,"$50,000 to $74,999",White,"",No
402,C2059647902,Complete,35 to 44,Male,"$125,000 to $149,999",White,"",Yes
403,C2059658314,Complete,55 to 64,Female,"Less than $25,000",White,"",No
404,C2059658783,Complete,75 or older,Female,"Less than $25,000",White,"",No
405,C2059665492,Complete,55 to 64,Female,"$50,000 to $74,999",White,"",No
406,C2059670849,Complete,55 to 64,Male,"$50,000 to $74,999",White,"",No
407,C2059684526,Complete,25 to 34,Male,"$35,000 to $49,999",White,"",No
408,C2059686424,Complete,55 to 64,Female,"Less than $25,000",White,"",No
409,C2059686441,Complete,65 to 74,Female,"$75,000 to $99,999",White,"",No
410,C2059695326,Complete,35 to 44,Male,"$75,000 to $99,999",White,"",Yes
411,C2059699379,Complete,65 to 74,Male,"$50,000 to $74,999",White,"",No
412,C2059703128,Complete,18 to 24,Female,"$35,000 to $49,999",White,"",No
413,C2059703620,Complete,65 to 74,Female,"Less than $25,000",White,"",No
414,C2059715751,Complete,55 to 64,Female,"$35,000 to $49,999",White,"",No
415,C2059722541,Complete,18 to 24,Female,"$125,000 to $149,999",White,"",Yes
416,C2059724534,Complete,45 to 54,Female,"$50,000 to $74,999",White,"",No
417,C2059725051,Complete,65 to 74,Female,"$25,000 to $34,999",White,"",No
418,C2059726144,Complete,65 to 74,Female,"$50,000 to $74,999",White,"",No
419,C2059730178,Complete,65 to 74,Male,"Less than $25,000",White,"",No
420,C2059730575,Complete,65 to 74,Female,"$25,000 to $34,999",White,"",No
421,C2059732863,Complete,45 to 54,Male,"$100,000 to $124,999",White,"",No
422,C2059723963,Complete,55 to 64,Female,"$125,000 to $149,999",White,"",No
423,C2059734809,Complete,75 or older,Female,"Less than $25,000",White,"",No
424,C2059735928,Complete,65 to 74,Female,"Less than $25,000",White,"",No
425,C2059736965,Complete,65 to 74,Female,"$150,000 or more",White,"",No
426,C2059738382,Complete,18 to 24,Male,"$35,000 to $49,999",White,"",No
427,C2059740599,Complete,45 to 54,Female,"$25,000 to $34,999",White,"",No
428,C2059741339,Complete,18 to 24,Male,"$25,000 to $34,999",Asian,"",No
429,C2059741007,Complete,18 to 24,Male,"Less than $25,000",White,"",No
430,C2059743351,Complete,75 or older,Male,"$150,000 or more",White,"",No
431,C2059743636,Complete,65 to 74,Female,"$50,000 to $74,999",White,"",No
432,C2059746028,Complete,65 to 74,Male,"Less than $25,000",White,"",No
433,C2059746551,Partial,,,,,"",
434,C2059748281,Complete,25 to 34,Female,"$50,000 to $74,999",Native Hawaiian or Other Pacific Islander,"",No
435,C2059752386,Complete,65 to 74,Male,"$100,000 to $124,999",White,"",No
436,C2059757721,Complete,35 to 44,Female,"$50,000 to $74,999",White,"",No
437,C2059759332,Complete,65 to 74,Female,"$25,000 to $34,999",White,"",No
438,C2059758579,Complete,55 to 64,Male,"Less than $25,000",White,"",No
439,C2059731048,Complete,65 to 74,Female,"$50,000 to $74,999",White,"",No
440,C2059760511,Complete,65 to 74,Male,"$50,000 to $74,999",White,"",No
441,C2059762710,Complete,65 to 74,Male,"Less than $25,000",White,"",No
442,C2059762964,Complete,65 to 74,Female,"$35,000 to $49,999",White,"",No
443,C2059764916,Complete,18 to 24,Female,"$35,000 to $49,999",White,"",No
444,1056716859,Complete,65 to 74,Male,"$100,000 to $124,999",Asian,"",No
445,C2059765180,Complete,65 to 74,Female,"$75,000 to $99,999",White,"",No
446,C2059766263,Complete,65 to 74,Female,"$150,000 or more",White,"",No
447,C2059767369,Complete,18 to 24,Male,"$50,000 to $74,999",White,"",No
448,C2059771346,Complete,45 to 54,Male,"$100,000 to $124,999",White,"",No
449,C2059776929,Complete,18 to 24,Female,"$100,000 to $124,999",Native Hawaiian or Other Pacific Islander,"",No
450,C2059781800,Disqualified,45 to 54,Female,"$125,000 to $149,999",White,"",No
451,C2059781793,Complete,35 to 44,Female,"$50,000 to $74,999",White,"",No
452,C2059787362,Complete,35 to 44,Female,"$50,000 to $74,999",White,"",No
453,C2059788607,Complete,45 to 54,Female,"$50,000 to $74,999",Other,Hispanic,Yes
454,C2059793682,Partial,,,,,"",
455,C2059801516,Complete,55 to 64,Female,"$35,000 to $49,999",White,"",No
456,C2059806278,Complete,55 to 64,Female,"$25,000 to $34,999",White,"",No
457,C2059807491,Complete,65 to 74,Female,"$50,000 to $74,999",White,"",No
458,C2059807319,Complete,35 to 44,Female,"$35,000 to $49,999",White,"",Yes
459,C2059808329,Complete,35 to 44,Female,"$50,000 to $74,999",Asian,"",No
460,C2059813082,Disqualified,65 to 74,Male,"$75,000 to $99,999",White,"",No
461,C2059816073,Complete,55 to 64,Male,"$35,000 to $49,999",White,"",No
462,C2059822732,Complete,75 or older,Female,"$25,000 to $34,999",White,"",No
463,C2059823871,Complete,55 to 64,Male,"Less than $25,000",White,"",No
464,1181186163,Complete,35 to 44,Female,"$100,000 to $124,999",White,"",No
465,C2059833233,Complete,55 to 64,Female,"$75,000 to $99,999",White,"",No
466,C2059835242,Complete,25 to 34,Female,"$50,000 to $74,999",White,"",No
467,C2059843393,Complete,45 to 54,Female,"$35,000 to $49,999",White,"",No
