Vrid,id,Vstatus,sex,race,race_other,hispanic,age_weight,income_weight,race_weight,flag,weight
228,C2058703405,Complete,Male,White,"",No,35-54,100-150K,White,1,1.4226858712917274
229,C2058745380,Complete,Male,White,"",Yes,18-34,100-150K,Hispanic,0,2.6683757328221245
230,C2058786009,Complete,Male,White,"",Yes,35-54,50-75K,Hispanic,0,2.2033799955036026
231,C2058789430,Complete,Female,White,"",No,55+,35-50K,White,1,0.5280527004214576
232,C2058795954,Complete,Female,White,"",No,35-54,150K+,White,0,1.3364632589676886
233,C2058812154,Complete,Female,White,"",No,35-54,50-75K,White,0,0.8489172986734048
234,C2058834635,Complete,Female,White,"",No,18-34,100-150K,White,0,1.0280706567072588
235,C2058837196,Complete,Male,Black/African-American,"",No,18-34,0-25K,Not white or Hispanic,3,1.6849199770365715
236,C2058873223,Complete,Female,White,"",No,35-54,150K+,White,0,1.3364632589676886
237,C2058884744,Complete,Male,White,"",No,35-54,150K+,White,0,1.9546859129882206
238,C2058909519,Complete,Female,White,"",No,18-34,35-50K,White,0,0.9354351267440567
239,C2058914306,Complete,Female,White,"",No,35-54,50-75K,White,3,0.8489172986734048
240,C2058917474,Complete,Male,White,"",No,18-34,75-100K,White,0,1.5154402646875993
241,C2058923896,Complete,Female,White,"",No,18-34,50-75K,White,2,0.897220706073849
242,C2058938386,Complete,Male,White,"",No,35-54,100-150K,White,3,1.4226858712917274
243,C2058943612,Complete,Female,White,"",No,35-54,75-100K,White,0,0.9803585904535309
244,C2058946033,Complete,Female,White,"",No,35-54,0-25K,White,0,0.9596844607808721
245,C2058957687,Complete,Male,White,"",No,18-34,100-150K,White,0,1.5036367193322242
246,C2058963461,Complete,Female,White,"",No,18-34,50-75K,White,0,0.897220706073849
247,C2058967715,Complete,Male,White,"",No,18-34,100-150K,White,1,1.5036367193322242
248,C2058988842,Complete,Female,White,"",No,55+,150K+,White,0,0.797360140810658
250,C2058995413,Complete,Female,White,"",No,55+,75-100K,White,0,0.5849011250281315
251,C2059015298,Complete,Female,White,"",No,55+,50-75K,White,0,0.5064806774633477
252,C2059151126,Complete,Female,White,"",No,18-34,50-75K,White,0,0.897220706073849
253,C2059155507,Complete,Female,White,"",No,55+,35-50K,White,0,0.5280527004214576
254,C2059160415,Complete,Male,White,"",No,55+,150K+,White,0,1.1662038775572334
255,C2059162816,Complete,Female,American Indian/Alaska Native,"",No,55+,35-50K,Not white or Hispanic,0,0.59975547504171
256,C2059164617,Complete,Female,White,"",No,55+,100-150K,White,0,0.5803454146391758
257,C2059167999,Complete,Male,White,"",No,35-54,150K+,White,0,1.9546859129882206
258,C2059163153,Partial,,,"",,,,,3,1
259,C2059170938,Complete,Female,White,"",Yes,18-34,25-35K,Hispanic,0,1.121765237247368
262,C2059174735,Complete,Male,White,"",No,18-34,0-25K,White,0,1.483482153800004
263,C2059176334,Complete,Female,White,"",No,35-54,50-75K,White,0,0.8489172986734048
264,C2059177495,Complete,Male,White,"",No,35-54,0-25K,White,0,1.4036163611793078
265,C2059177978,Complete,Male,White,"",No,18-34,35-50K,White,0,1.3681497433556946
266,C2059185592,Complete,Male,White,"",No,55+,0-25K,White,3,0.8374249960740104
267,C2059184935,Complete,Female,White,"",No,18-34,50-75K,White,0,0.897220706073849
268,C2059189324,Complete,Female,White,"",No,55+,50-75K,White,0,0.5064806774633477
269,C2059192122,Complete,Female,White,"",No,55+,0-25K,White,0,0.5725665345810572
270,C2059192461,Complete,Male,White,"",No,18-34,75-100K,White,0,1.5154402646875993
271,C2059193301,Complete,Female,White,"",No,18-34,50-75K,White,3,0.897220706073849
272,C2059195072,Complete,Male,White,"",No,55+,50-75K,White,0,0.7407690700027477
273,C2059191165,Complete,Female,American Indian/Alaska Native,"",No,18-34,50-75K,Not white or Hispanic,0,1.0190517544159765
274,C2059193420,Complete,Male,White,"",No,35-54,50-75K,White,0,1.2416104025864851
275,C2059197578,Complete,Male,White,"",No,18-34,25-35K,White,1,0.9245233343954337
276,C2059200723,Complete,Male,White,"",No,18-34,0-25K,White,3,1.483482153800004
277,C2059203020,Complete,Female,White,"",No,55+,100-150K,White,0,0.5803454146391758
278,C2059208513,Complete,Male,White,"",No,35-54,25-35K,White,3,0.8747500434200876
279,C2059218594,Complete,Male,White,"",No,55+,50-75K,White,0,0.7407690700027477
280,C2059226997,Complete,Male,Other,Mixed Race,Yes,18-34,35-50K,Hispanic,3,2.4279385619542957
281,C2059227637,Complete,Female,White,"",No,55+,0-25K,White,0,0.5725665345810572
282,C2059233745,Complete,Female,White,"",No,18-34,0-25K,White,0,1.0142905214152977
283,C2059234196,Complete,Female,Other,mixed,Yes,35-54,100-150K,Hispanic,0,1.7262079761152282
284,C2059237192,Complete,Male,White,"",No,55+,100-150K,White,0,0.8488022390819279
286,C2059238710,Complete,Male,American Indian/Alaska Native,"",No,18-34,0-25K,Not white or Hispanic,0,1.6849199770365715
287,C2059243544,Complete,Female,White,"",No,55+,0-25K,White,0,0.5725665345810572
288,C2059246801,Complete,Female,White,"",No,35-54,75-100K,White,1,0.9803585904535309
289,C2059253884,Complete,Male,White,"",Yes,35-54,35-50K,Hispanic,0,2.2972263473259433
290,C2059227467,Complete,Female,White,"",No,55+,150K+,White,0,0.797360140810658
291,C2059259211,Complete,Male,White,"",No,55+,100-150K,White,0,0.8488022390819279
292,C2059260120,Complete,Male,White,"",No,18-34,35-50K,White,0,1.3681497433556946
293,C2059261887,Partial,,,"",,,,,0,1
294,C2059260502,Partial,,,"",,,,,0,1
295,C2059261051,Complete,Female,White,"",No,18-34,25-35K,White,0,0.6321176513667556
296,C2059268068,Partial,,,"",,,,,3,1
297,C2059269013,Complete,Female,White,"",No,55+,75-100K,White,0,0.5849011250281315
298,C2059271486,Partial,,,"",,,,,3,1
300,C2059274124,Complete,Female,White,"",No,18-34,50-75K,White,0,0.897220706073849
301,C2059274220,Complete,Female,White,"",No,35-54,100-150K,White,2,0.972722718980012
302,C2059278197,Partial,,,"",,,,,3,1
303,C2059280682,Complete,Female,White,"",No,18-34,0-25K,White,0,1.0142905214152977
304,C2059282787,Partial,,,"",,,,,3,1
305,C2059292519,Complete,Male,White,"",No,55+,75-100K,White,0,0.8554653350265367
306,C2059292076,Complete,Female,Native Hawaiian or Other Pacific Islander,"",Yes,18-34,100-150K,Hispanic,1,1.8244292366060784
307,C2059293765,Complete,Male,White,"",No,35-54,100-150K,White,1,1.4226858712917274
308,C2059295094,Complete,Female,White,"",Yes,18-34,35-50K,Hispanic,3,1.660036869106099
309,C2059295964,Partial,,,"",,,,,3,1
311,C2059302119,Complete,Male,White,"",No,35-54,25-35K,White,0,0.8747500434200876
312,C2059308504,Complete,Female,White,"",No,55+,75-100K,White,0,0.5849011250281315
313,C2059308320,Complete,Female,White,"",No,18-34,0-25K,White,2,1.0142905214152977
314,C2059310480,Complete,Female,American Indian/Alaska Native,"",No,55+,150K+,Not white or Hispanic,0,0.9056314069590701
315,C2059310891,Partial,,,"",,,,,3,1
316,C2059311255,Complete,Female,Other,Hispanic,Yes,18-34,0-25K,Hispanic,0,1.7999748067991208
317,C2059312050,Complete,Female,White,"",Yes,18-34,0-25K,Hispanic,0,1.7999748067991208
318,C2059311148,Complete,Male,White,"",No,55+,50-75K,White,0,0.7407690700027477
319,C2059316491,Partial,,,"",,55+,,,0,0.7117535271376775
320,C2059321190,Complete,Male,White,"",No,18-34,75-100K,White,1,1.5154402646875993
321,C2059322105,Complete,Female,White,"",No,55+,0-25K,White,0,0.5725665345810572
323,C2059326210,Complete,Male,White,"",No,18-34,50-75K,White,0,1.3122580536621378
325,C2059329483,Disqualified,Male,White,"",No,55+,100-150K,White,0,0.8488022390819279
326,C2059330028,Complete,Female,White,"",Yes,35-54,50-75K,Hispanic,2,1.5065010649374355
327,C2059336394,Complete,Female,White,"",No,18-34,25-35K,White,0,0.6321176513667556
328,C2059336949,Complete,Male,Other,Hispanic,Yes,18-34,50-75K,Hispanic,0,2.3287523512644235
329,C2059339816,Complete,Female,White,"",No,55+,75-100K,White,0,0.5849011250281315
330,C2059340497,Partial,,,"",,,,,3,1
331,C2059347732,Complete,Male,White,"",No,18-34,50-75K,White,1,1.3122580536621378
332,C2059352504,Complete,Female,White,"",No,55+,75-100K,White,2,0.5849011250281315
333,C2059352933,Partial,,,"",,,,,3,1
334,C2059356871,Complete,Male,White,"",No,18-34,50-75K,White,0,1.3122580536621378
335,C2059364174,Complete,Male,White,"",No,35-54,35-50K,White,0,1.294493067812272
336,C2059365419,Complete,Female,White,"",No,35-54,25-35K,White,0,0.5980865191912716
337,C2059366267,Complete,Female,White,"",Yes,55+,50-75K,Hispanic,2,0.8988080242458504
338,C2059370124,Complete,Female,White,"",No,55+,0-25K,White,0,0.5725665345810572
339,C2059371454,Partial,,,"",,,,,0,1
341,C2059375829,Complete,Female,White,"",Yes,18-34,25-35K,Hispanic,0,1.121765237247368
342,C2059376600,Complete,Female,White,"",No,55+,50-75K,White,1,0.5064806774633477
343,C2059378712,Complete,Female,White,"",No,55+,100-150K,White,0,0.5803454146391758
344,C2059383652,Complete,Male,White,"",No,18-34,0-25K,White,1,1.483482153800004
345,C2059386292,Complete,Male,White,"",No,18-34,75-100K,White,1,1.5154402646875993
346,C2059357127,Complete,Female,Other,Caucasian Am Indian Mexican,Yes,55+,0-25K,Hispanic,0,1.0160849536719685
347,C2059386947,Complete,Female,White,"",No,18-34,75-100K,White,0,1.0361410093855066
348,C2059385832,Complete,Female,White,"",No,55+,35-50K,White,0,0.5280527004214576
349,C2059390025,Complete,Female,Other,Hispanic,Yes,18-34,25-35K,Hispanic,2,1.121765237247368
351,C2059393638,Complete,Female,White,"",No,55+,0-25K,White,0,0.5725665345810572
352,C2059395301,Complete,Female,White,"",No,35-54,35-50K,White,0,0.8850743808117346
353,C2059394626,Complete,Female,White,"",No,18-34,0-25K,White,0,1.0142905214152977
354,C2059396863,Complete,Female,White,"",No,18-34,35-50K,White,0,0.9354351267440567
355,C2059397380,Complete,Male,White,"",No,18-34,50-75K,White,0,1.3122580536621378
356,C2059398787,Complete,Female,White,"",No,18-34,150K+,White,3,1.4125080390358076
357,C2059400372,Complete,Female,White,"",No,18-34,35-50K,White,0,0.9354351267440567
358,C2059402753,Complete,Female,Asian,"",No,18-34,75-100K,Not white or Hispanic,0,1.1768356506807285
359,C2059407513,Complete,Female,American Indian/Alaska Native,"",Yes,18-34,35-50K,Hispanic,3,1.660036869106099
360,C2059409498,Complete,Female,White,"",No,18-34,50-75K,White,0,0.897220706073849
361,C2059409264,Complete,Female,White,"",No,18-34,50-75K,White,0,0.897220706073849
362,C2059410348,Partial,,,"",,,,,0,1
363,C2059411955,Complete,Male,White,"",No,18-34,25-35K,White,0,0.9245233343954337
364,C2059413408,Complete,Female,White,"",Yes,18-34,25-35K,Hispanic,0,1.121765237247368
365,C2059419995,Complete,Male,White,"",No,18-34,0-25K,White,0,1.483482153800004
366,C2059421331,Complete,Female,White,"",No,18-34,75-100K,White,0,1.0361410093855066
367,C2059419114,Complete,Female,Asian,"",No,35-54,75-100K,Not white or Hispanic,2,1.113478695704793
368,C2059421310,Complete,Male,White,"",Yes,35-54,35-50K,Hispanic,0,2.2972263473259433
369,C2059421901,Complete,Female,White,"",No,18-34,75-100K,White,0,1.0361410093855066
370,C2059428029,Complete,Female,White,"",No,35-54,150K+,White,0,1.3364632589676886
371,C2059428308,Complete,Female,White,"",No,18-34,50-75K,White,0,0.897220706073849
372,C2059440269,Complete,Female,White,"",No,18-34,35-50K,White,0,0.9354351267440567
373,C2059455371,Complete,Female,Asian,"",No,55+,25-35K,Not white or Hispanic,0,0.4052830724855261
374,C2059458733,Complete,Female,Asian,"",No,18-34,50-75K,Not white or Hispanic,0,1.0190517544159765
375,C2059466411,Complete,Male,White,"",No,18-34,25-35K,White,0,0.9245233343954337
376,C2059471353,Complete,Female,White,"",No,35-54,0-25K,White,1,0.9596844607808721
377,C2059473763,Complete,Female,White,"",No,55+,50-75K,White,0,0.5064806774633477
378,C2059473021,Complete,Male,White,"",No,55+,35-50K,White,0,0.7723199032246395
379,C2059475033,Complete,Female,Black/African-American,"",Yes,18-34,0-25K,Hispanic,1,1.7999748067991208
380,C2059475088,Complete,Female,White,"",Yes,35-54,25-35K,Hispanic,0,1.0613730919306115
381,C2059479366,Complete,Female,White,"",No,18-34,35-50K,White,1,0.9354351267440567
382,1164743365,Complete,Male,White,"",No,55+,50-75K,White,0,0.7407690700027477
383,C2059482351,Complete,Female,White,"",No,18-34,0-25K,White,0,1.0142905214152977
384,C2059482947,Complete,Female,White,"",No,55+,0-25K,White,2,0.5725665345810572
385,C2059483718,Disqualified,Female,White,"",No,55+,25-35K,White,0,0.3568301245540171
386,C2059485797,Complete,Female,White,"",No,18-34,35-50K,White,2,0.9354351267440567
387,C2059487384,Complete,Female,White,"",No,55+,35-50K,White,0,0.5280527004214576
388,C2059499354,Complete,Female,White,"",No,18-34,50-75K,White,0,0.897220706073849
390,C2059522773,Complete,Male,White,"",No,55+,75-100K,White,3,0.8554653350265367
391,C2059540986,Complete,Female,Black/African-American,"",No,35-54,25-35K,Not white or Hispanic,0,0.6792989869142012
392,C2059538390,Complete,Female,Other,Caucasian Am Indian Mexican,Yes,55+,0-25K,Hispanic,0,1.0160849536719685
393,C2059546859,Complete,Female,White,"",No,18-34,150K+,White,1,1.4125080390358076
394,C2059550681,Complete,Male,White,"",No,55+,35-50K,White,3,0.7723199032246395
395,C2059552199,Complete,Male,White,"",No,55+,0-25K,White,0,0.8374249960740104
396,C2059558657,Complete,Male,Other,Mexican,Yes,18-34,0-25K,Hispanic,0,2.632609145799943
397,C2059567362,Partial,,,"",,,,,0,1
398,C2059573191,Complete,Male,Black/African-American,"",No,35-54,0-25K,Not white or Hispanic,3,1.5942094355421752
399,C2059578278,Complete,Female,White,"",No,35-54,0-25K,White,1,0.9596844607808721
400,C2059607766,Complete,Female,White,"",No,55+,0-25K,White,0,0.5725665345810572
401,C2059641871,Complete,Male,White,"",No,55+,50-75K,White,0,0.7407690700027477
402,C2059647902,Complete,Male,White,"",Yes,35-54,100-150K,Hispanic,0,2.524719172906136
403,C2059658314,Complete,Female,White,"",No,55+,0-25K,White,0,0.5725665345810572
404,C2059658783,Complete,Female,White,"",No,55+,0-25K,White,0,0.5725665345810572
405,C2059665492,Complete,Female,White,"",No,55+,50-75K,White,0,0.5064806774633477
406,C2059670849,Complete,Male,White,"",No,55+,50-75K,White,0,0.7407690700027477
407,C2059684526,Complete,Male,White,"",No,18-34,35-50K,White,0,1.3681497433556946
408,C2059686424,Complete,Female,White,"",No,55+,0-25K,White,0,0.5725665345810572
409,C2059686441,Complete,Female,White,"",No,55+,75-100K,White,0,0.5849011250281315
410,C2059695326,Complete,Male,White,"",Yes,35-54,75-100K,Hispanic,1,2.5445382135585968
411,C2059699379,Complete,Male,White,"",No,55+,50-75K,White,0,0.7407690700027477
412,C2059703128,Complete,Female,White,"",No,18-34,35-50K,White,1,0.9354351267440567
413,C2059703620,Complete,Female,White,"",No,55+,0-25K,White,0,0.5725665345810572
414,C2059715751,Complete,Female,White,"",No,55+,35-50K,White,0,0.5280527004214576
415,C2059722541,Complete,Female,White,"",Yes,18-34,100-150K,Hispanic,0,1.8244292366060784
416,C2059724534,Complete,Female,White,"",No,35-54,50-75K,White,0,0.8489172986734048
417,C2059725051,Complete,Female,White,"",No,55+,25-35K,White,2,0.3568301245540171
418,C2059726144,Complete,Female,White,"",No,55+,50-75K,White,0,0.5064806774633477
419,C2059730178,Complete,Male,White,"",No,55+,0-25K,White,2,0.8374249960740104
420,C2059730575,Complete,Female,White,"",No,55+,25-35K,White,0,0.3568301245540171
421,C2059732863,Complete,Male,White,"",No,35-54,100-150K,White,0,1.4226858712917274
422,C2059723963,Complete,Female,White,"",No,55+,100-150K,White,0,0.5803454146391758
423,C2059734809,Complete,Female,White,"",No,55+,0-25K,White,0,0.5725665345810572
424,C2059735928,Complete,Female,White,"",No,55+,0-25K,White,0,0.5725665345810572
426,C2059738382,Complete,Male,White,"",No,18-34,35-50K,White,0,1.3681497433556946
427,C2059740599,Complete,Female,White,"",No,35-54,25-35K,White,3,0.5980865191912716
428,C2059741339,Complete,Male,Asian,"",No,18-34,25-35K,Not white or Hispanic,3,1.0500617289996308
429,C2059741007,Complete,Male,White,"",No,18-34,0-25K,White,0,1.483482153800004
430,C2059743351,Complete,Male,White,"",No,55+,150K+,White,0,1.1662038775572334
431,C2059743636,Complete,Female,White,"",No,55+,50-75K,White,1,0.5064806774633477
432,C2059746028,Complete,Male,White,"",No,55+,0-25K,White,0,0.8374249960740104
433,C2059746551,Partial,,,"",,,,,3,1
434,C2059748281,Complete,Female,Native Hawaiian or Other Pacific Islander,"",No,18-34,50-75K,Not white or Hispanic,1,1.0190517544159765
